Date,1023.KL,1082.KL,1155.KL,1295.KL,1299.KL,1961.KL,2194.KL,2445.KL,3182.KL,3186.KL,3405.KL,4065.KL,4106.KL,4197.KL,4677.KL,4707.KL,4715.KL,4863.KL,5218.KL,5225.KL,5249.KL,5285.KL,5681.KL,5819.KL,6012.KL,6033.KL,6866.KL,7277.KL,8869.KL
2015-01-02,3.71509051322937,12.829022407531738,4.695830821990967,2.5263941287994385,,3.771359920501709,,16.826263427734375,6.7023162841796875,,,9.458846092224121,,1.966860055923462,1.0414937734603882,53.59229278564453,2.570152521133423,4.9739990234375,2.267181396484375,4.307877063751221,1.6646485328674316,,12.403145790100098,10.038430213928223,4.515359401702881,15.071393966674805,,1.3169264793395996,0.38816872239112854
2015-01-05,3.654845952987671,12.67629623413086,4.634043216705322,2.4709296226501465,,3.708502769470215,,16.826263427734375,6.603975296020508,,,9.53991985321045,,1.9842087030410767,1.0349842309951782,53.68567657470703,2.51303768157959,4.944953918457031,2.2478861808776855,4.245053768157959,1.6577696800231934,,12.345186233520508,10.239489555358887,4.508688449859619,14.948089599609375,,1.3169264793395996,0.3851832449436188
2015-01-06,3.574518918991089,12.477749824523926,4.531064033508301,2.4404242038726807,,3.6849324703216553,,16.62740707397461,6.377035140991211,,,9.512893676757812,,1.9842087030410767,1.0480026006698608,53.37445068359375,2.5003457069396973,4.9159088134765625,2.2092959880828857,4.200179576873779,1.6233758926391602,,12.272741317749023,9.966625213623047,4.502017021179199,14.92068099975586,,1.2736066579818726,0.36577513813972473
2015-01-07,3.514274835586548,12.508296012878418,4.433234214782715,2.437650680541992,,3.69278883934021,,16.673294067382812,6.505634784698486,,,9.391281127929688,,1.9560173749923706,1.0480026006698608,53.60786819458008,2.4876534938812256,4.9159088134765625,2.1803534030914307,4.200179576873779,1.6164971590042114,,12.0698823928833,9.966625213623047,4.4820098876953125,14.769966125488281,,1.2736066579818726,0.362788587808609
2015-01-08,3.541050672531128,12.584661483764648,4.479574680328369,2.4404242038726807,,3.724217176437378,,17.438129425048828,6.619103908538818,,,9.323718070983887,,1.9733655452728271,1.0545121431350708,53.68567657470703,2.5003457069396973,4.92317008972168,2.2575337886810303,4.280951976776123,1.5346628427505493,,12.127840995788574,10.038430213928223,4.535367012023926,14.96178150177002,,1.2822707891464233,0.3672674000263214
2015-01-09,3.5611319541931152,12.599936485290527,4.433234214782715,2.434877634048462,,3.724217176437378,,16.948638916015625,6.535892009735107,,,9.634511947631836,,1.9907143115997314,1.0740400552749634,53.68567657470703,2.5257303714752197,4.944953918457031,2.334714412689209,4.370699882507324,1.5770955085754395,,12.09886646270752,10.0527925491333,4.602062702178955,14.879575729370117,,1.2995988130569458,0.3568165600299835
2015-01-12,3.4674179553985596,12.615202903747559,4.417787075042725,2.4293315410614014,,3.708502769470215,,17.05571174621582,6.573714733123779,,,9.620994567871094,,1.9842087030410767,1.1000778675079346,53.76348114013672,2.506692409515381,4.92317008972168,2.4222664833068848,4.397624492645264,1.5700228214263916,,11.9974365234375,10.038430213928223,4.635412216186523,14.948089599609375,,1.3169264793395996,0.36577513813972473
2015-01-13,3.962763786315918,12.538843154907227,4.438383102416992,2.4210116863250732,,3.73207426071167,,16.810962677001953,6.6417975425720215,,,9.648019790649414,,2.038421869277954,1.1000778675079346,53.76348114013672,2.51303768157959,4.937692165374756,2.363898515701294,4.361725330352783,1.527590274810791,,11.939477920532227,10.038430213928223,4.588723182678223,14.865875244140625,,1.3082627058029175,0.3911552131175995
2015-01-14,3.8489670753479004,12.630480766296387,4.319958209991455,2.4293315410614014,,3.755645275115967,,16.826263427734375,6.460245132446289,,,9.458846092224121,,2.0080628395080566,1.0870585441589355,54.13694763183594,2.436884641647339,4.9086480140686035,2.324986696243286,4.343775749206543,1.527590274810791,,11.867029190063477,10.038430213928223,4.588723182678223,14.865875244140625,,1.2995988130569458,0.37323933839797974
2015-01-15,3.956069231033325,12.661026000976562,4.428085803985596,2.4293315410614014,,3.716359853744507,,16.841562271118164,6.346776485443115,,,9.472357749938965,,2.0254106521606445,1.0870585441589355,54.38592529296875,2.4051551818847656,4.865078449249268,2.373626470565796,4.334800720214844,1.513445496559143,,11.881522178649902,10.0527925491333,4.582054615020752,14.865875244140625,,1.3515827655792236,0.38816872239112854
